latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
16.498,-97.427,302.3,3.1,1.7,2017-04-29,04:15,T,48,6.0NRT,286.8,24.8
16.502,-97.41,305.1,3.1,1.7,2017-04-29,04:15,T,63,6.0NRT,288.1,34
22.008,86.295,331.4,1,1,2017-04-29,04:55,T,71,6.0NRT,308.7,18.7
20.798,93.33,313.1,2.1,1.4,2017-04-29,04:55,T,32,6.0NRT,293.9,17.6
20.784,93.268,318.9,2.1,1.4,2017-04-29,04:55,T,66,6.0NRT,297.2,30.2
21.641,85.569,330.7,1.1,1,2017-04-29,04:55,T,65,6.0NRT,314.5,10.4
21.639,85.579,334.1,1.1,1,2017-04-29,04:55,T,74,6.0NRT,315.6,14.8
19.953,94.433,322.7,2.6,1.6,2017-04-29,04:55,T,65,6.0NRT,298.4,51.7
19.94,94.429,317.1,2.6,1.6,2017-04-29,04:55,T,36,6.0NRT,296.5,31.1
19.948,94.424,326.2,2.6,1.6,2017-04-29,04:55,T,73,6.0NRT,297.1,68.3
20.959,85.176,336.4,1.1,1,2017-04-29,04:55,T,78,6.0NRT,315.4,16.7
20.958,85.186,338.6,1.1,1,2017-04-29,04:55,T,81,6.0NRT,315.7,20.7
21.189,83.025,334.7,1.4,1.2,2017-04-29,04:55,T,74,6.0NRT,319.6,14
20.949,84.129,336.9,1.2,1.1,2017-04-29,04:55,T,77,6.0NRT,319.5,16.2
19.97,85.671,326.9,1,1,2017-04-29,04:55,T,61,6.0NRT,306,10.7
20.151,83.995,328.4,1.2,1.1,2017-04-29,04:55,T,49,6.0NRT,311,10
19.96,83.657,331,1.2,1.1,2017-04-29,04:55,T,68,6.0NRT,312.7,15.3
19.698,85.311,317.2,1,1,2017-04-29,04:55,T,51,6.0NRT,305.1,9.5
19.689,85.31,316.2,1,1,2017-04-29,04:55,T,38,6.0NRT,304.2,8.2
39.871,118.167,325.5,1,1,2017-04-29,03:10,T,66,6.0NRT,310.8,7.4
39.755,118.081,321.9,1,1,2017-04-29,03:10,T,47,6.0NRT,307.7,7.8
39.753,118.092,326,1,1,2017-04-29,03:10,T,69,6.0NRT,307.9,11.5
39.675,118.572,324.7,1.1,1,2017-04-29,03:10,T,66,6.0NRT,310,8.1
40.186,114.154,335.2,1.1,1.1,2017-04-29,03:10,T,83,6.0NRT,311.3,25.2
40.184,114.167,327.3,1.1,1.1,2017-04-29,03:10,T,70,6.0NRT,309,13.3
39.557,116.792,322.6,1,1,2017-04-29,03:10,T,52,6.0NRT,307.8,4.7
38.852,117.288,324.3,1,1,2017-04-29,03:10,T,29,6.0NRT,310.3,11.8
37.922,117.658,318.6,1,1,2017-04-29,03:10,T,36,6.0NRT,306.3,6.4
37.803,118.156,324.4,1.1,1,2017-04-29,03:10,T,58,6.0NRT,309.4,8.6
37.791,118.166,323.9,1.1,1,2017-04-29,03:10,T,40,6.0NRT,309.2,8.9
37.6,117.813,317.1,1.1,1,2017-04-29,03:10,T,47,6.0NRT,304.5,7.6
37.257,117.58,322.9,1.1,1,2017-04-29,03:10,T,43,6.0NRT,304.8,13.6
37.161,118.047,320.2,1.1,1,2017-04-29,03:10,T,68,6.0NRT,303.8,12.8
37.235,117.495,316.6,1,1,2017-04-29,03:10,T,54,6.0NRT,304.5,7.4
37.233,117.507,317.1,1,1,2017-04-29,03:10,T,51,6.0NRT,304.4,8.1
37.042,118.377,319.6,1.1,1.1,2017-04-29,03:10,T,27,6.0NRT,305.6,8.7
37.039,118.389,321.6,1.1,1.1,2017-04-29,03:10,T,61,6.0NRT,306.7,10.7
36.879,117.509,321.8,1.1,1,2017-04-29,03:10,T,29,6.0NRT,307.3,10.8
36.805,117.801,326.8,1.1,1,2017-04-29,03:10,T,27,6.0NRT,309.5,7.9
36.814,117.511,320.6,1.1,1,2017-04-29,03:10,T,55,6.0NRT,307.3,8.5
36.834,117.103,322.8,1,1,2017-04-29,03:10,T,37,6.0NRT,305.6,9.1
36.805,116.873,318,1,1,2017-04-29,03:10,T,34,6.0NRT,305.7,7.3
36.684,117.569,322.9,1.1,1,2017-04-29,03:10,T,33,6.0NRT,309.7,7.1
36.753,117.089,323.7,1,1,2017-04-29,03:10,T,57,6.0NRT,308.3,8.8
36.268,117.447,316.5,1.1,1,2017-04-29,03:10,T,41,6.0NRT,303.6,6
36.202,117.735,322.5,1.1,1,2017-04-29,03:10,T,30,6.0NRT,307.1,7.6
36.197,117.666,321.2,1.1,1,2017-04-29,03:10,T,35,6.0NRT,306.3,7
33.522,117.578,311.6,1.1,1.1,2017-04-29,03:10,T,9,6.0NRT,301.5,6.5
33.61,116.583,316.7,1.1,1,2017-04-29,03:10,T,32,6.0NRT,305.4,8.6
33.381,117.075,317.6,1.1,1,2017-04-29,03:10,T,69,6.0NRT,301.7,10.9
33.474,116.39,311.4,1,1,2017-04-29,03:10,T,34,6.0NRT,299.8,5.8
33.456,116.386,316.1,1,1,2017-04-29,03:10,T,65,6.0NRT,300.5,9.9
33.234,117.341,318.5,1.1,1.1,2017-04-29,03:10,T,40,6.0NRT,304.6,7.4
33.37,115.099,317.8,1,1,2017-04-29,03:10,T,27,6.0NRT,303.9,6.7
33.158,116.168,319.4,1,1,2017-04-29,03:10,T,25,6.0NRT,304.3,8.2
32.969,117.321,321.8,1.1,1.1,2017-04-29,03:10,T,51,6.0NRT,305.7,12.1
32.917,117.51,316.5,1.2,1.1,2017-04-29,03:10,T,17,6.0NRT,304.2,8.2
33.22,115.599,318.1,1,1,2017-04-29,03:10,T,52,6.0NRT,304.8,6.4
32.895,117.581,315.5,1.2,1.1,2017-04-29,03:10,T,27,6.0NRT,303.7,7.1
33.201,115.423,318.4,1,1,2017-04-29,03:10,T,58,6.0NRT,305,7.7
32.871,117.292,322.5,1.1,1.1,2017-04-29,03:10,T,75,6.0NRT,305.8,10.2
32.858,116.821,312.9,1.1,1,2017-04-29,03:10,T,50,6.0NRT,301.9,5.7
32.939,115.798,319.7,1,1,2017-04-29,03:10,T,40,6.0NRT,303.3,6.1
32.913,115.904,322.8,1,1,2017-04-29,03:10,T,76,6.0NRT,302.8,12.8
32.825,115.878,326.7,1,1,2017-04-29,03:10,T,76,6.0NRT,302.3,15.3
32.8,115.918,318.5,1,1,2017-04-29,03:10,T,44,6.0NRT,303.7,8.2
32.656,116.591,314.9,1.1,1,2017-04-29,03:10,T,60,6.0NRT,303.4,5.9
32.331,118.38,320,1.3,1.1,2017-04-29,03:10,T,35,6.0NRT,302.1,9.2
32.158,117.238,316,1.2,1.1,2017-04-29,03:10,T,58,6.0NRT,304.3,6.7
31.965,117.168,320,1.2,1.1,2017-04-29,03:10,T,40,6.0NRT,306.3,10.5
31.963,117.18,322.1,1.2,1.1,2017-04-29,03:10,T,58,6.0NRT,306.7,13.5
31.931,117.055,314.9,1.1,1.1,2017-04-29,03:10,T,56,6.0NRT,303.3,6.3
31.869,117.418,318.1,1.2,1.1,2017-04-29,03:10,T,35,6.0NRT,305.3,8.7
31.867,117.43,320.3,1.2,1.1,2017-04-29,03:10,T,68,6.0NRT,306.6,12
31.865,117.442,318.8,1.2,1.1,2017-04-29,03:10,T,57,6.0NRT,305.7,10.1
32.015,116.31,317.4,1.1,1,2017-04-29,03:10,T,64,6.0NRT,304.4,9
31.801,116.542,324,1.1,1,2017-04-29,03:10,T,65,6.0NRT,307.4,12.1
31.799,116.554,320.5,1.1,1,2017-04-29,03:10,T,9,6.0NRT,306.6,8.6
31.879,115.948,319.3,1.1,1,2017-04-29,03:10,T,33,6.0NRT,306.8,9.1
31.8,116.436,320.6,1.1,1,2017-04-29,03:10,T,72,6.0NRT,306.5,11.5
31.674,116.461,322,1.1,1,2017-04-29,03:10,T,33,6.0NRT,305.9,11.2
31.672,116.472,323.6,1.1,1,2017-04-29,03:10,T,57,6.0NRT,306.7,13.4
31.667,116.465,320.9,1.1,1,2017-04-29,03:10,T,66,6.0NRT,305.6,10.9
31.251,118.184,317.5,1.3,1.1,2017-04-29,03:10,T,47,6.0NRT,301,12
31.404,116.376,321.5,1.1,1,2017-04-29,03:10,T,76,6.0NRT,306.8,14
31.025,116.984,318.5,1.2,1.1,2017-04-29,03:10,T,74,6.0NRT,303.9,12.7
31.023,116.996,315.4,1.2,1.1,2017-04-29,03:10,T,70,6.0NRT,302,8.9
30.838,116.88,315.4,1.2,1.1,2017-04-29,03:10,T,70,6.0NRT,303.2,9.1
30.316,119.789,314.2,1.7,1.3,2017-04-29,03:10,T,67,6.0NRT,302.8,17.1
